5/15/2013,03:23:26A,20.00,RJSBKW2588H
5/18/2013,01:44:13P,0.00,2NDS2588H
5/18/2013,02:57:17A,20.00,RJSIMPROVE2588H
5/18/2013,03:58:50A,20.00,2NDS2588H
5/18/2013,04:17:17A,20.00,RJSBKW2588H
5/18/2013,05:28:50A,20.00,RJSIMPROVE2588H
5/19/2013,01:45:21P,0.00,RJSDSLF2588H
5/19/2013,02:57:03P,0.00,ANNTKNDS2588H
5/19/2013,02:18:02A,20.00,2NDS2588H
5/19/2013,02:39:37A,20.00,RJSBKW2588H
5/19/2013,03:29:20A,20.00,RJSIMPROVE2588H
5/19/2013,05:59:00A,20.00,2NDS2588H
